path,game_id,game_name,year_month,listing_type,listing_type_label,rows,bytes,price_candidate_rows,strict_price_rows,min_posted_at,max_posted_at
partitions/onepiececardgame/unknown-date/buy.csv,onepiececardgame,원피스 카드게임,unknown-date,buy,구매,43,24511,43,0,,
partitions/pokemoncardgame/2026-03/buy.csv,pokemoncardgame,포켓몬 카드게임,2026-03,buy,구매,1,980,0,0,2026-03-31T19:48:15+09:00,2026-03-31T19:48:15+09:00
partitions/pokemoncardgame/2026-03/sell.csv,pokemoncardgame,포켓몬 카드게임,2026-03,sell,판매,3,2185,2,0,2026-03-31T11:35:49+09:00,2026-03-31T23:56:52+09:00
partitions/pokemoncardgame/2026-03/unknown.csv,pokemoncardgame,포켓몬 카드게임,2026-03,unknown,미분류,15,9954,4,0,2026-03-31T10:11:45+09:00,2026-03-31T12:16:20+09:00
partitions/pokemoncardgame/2026-04/buy.csv,pokemoncardgame,포켓몬 카드게임,2026-04,buy,구매,295,171916,231,10,2026-04-01T23:17:23+09:00,2026-04-30T20:18:43+09:00
partitions/pokemoncardgame/2026-04/sell.csv,pokemoncardgame,포켓몬 카드게임,2026-04,sell,판매,695,438914,325,1,2026-04-01T12:04:40+09:00,2026-04-30T17:30:22+09:00
partitions/pokemoncardgame/2026-04/trade.csv,pokemoncardgame,포켓몬 카드게임,2026-04,trade,교환,8,6376,0,0,2026-04-12T22:43:08+09:00,2026-04-26T12:59:07+09:00
partitions/pokemoncardgame/2026-04/unknown.csv,pokemoncardgame,포켓몬 카드게임,2026-04,unknown,미분류,1202,746857,549,0,2026-04-01T03:39:56+09:00,2026-04-30T21:04:57+09:00
partitions/pokemoncardgame/2026-05/buy.csv,pokemoncardgame,포켓몬 카드게임,2026-05,buy,구매,494,295697,283,10,2026-05-01T00:28:20+09:00,2026-05-31T21:51:10+09:00
partitions/pokemoncardgame/2026-05/sell.csv,pokemoncardgame,포켓몬 카드게임,2026-05,sell,판매,968,623443,380,2,2026-05-01T16:20:29+09:00,2026-05-31T20:20:06+09:00
partitions/pokemoncardgame/2026-05/trade.csv,pokemoncardgame,포켓몬 카드게임,2026-05,trade,교환,18,13166,2,0,2026-05-01T04:02:29+09:00,2026-05-21T17:38:38+09:00
partitions/pokemoncardgame/2026-05/unknown.csv,pokemoncardgame,포켓몬 카드게임,2026-05,unknown,미분류,1075,645499,759,0,2026-05-01T01:06:20+09:00,2026-05-31T23:55:04+09:00
