gallery_id,post_title,post_url,posted_at,card_name,rarity,raw_price,price_krw,price_unit,quantity,shipping_included,author_name,author_type,shipping_price_krw,review_status,review_reason,raw_line,post_status,price_status,price_scope,price_origin,analysis_status,card_match_status,seller_id,seller_name,seller_risk_score,seller_risk_level,seller_review_status,is_repost
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,이펙트 뵐러 신일러,시크,0.5,5000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",이펙트 뵐러 신일러 시크 0.5,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,엘섀도르 미도라시 구공,시크,0.3,3000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",엘섀도르 미도라시 구공시크 0.3,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,스프라이트 블루,시크,0.3,3000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",스프라이트 블루 시크 0.3,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,증식의 g 엑,시크,0.5,5000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",증식의 g 엑싴 0.5,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,디코드 토커 인티그레이션,오버울,0.1,1000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",디코드 토커 인티그레이션 오버울 0.1,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,포톤 델타 윙,시크,0.6,6000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",포톤 델타 윙 시크 0.6,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,섬도희 아마츠 센터카드,,0.5,5000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",섬도희 아마츠 센터카드 0.5,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,맬리스 도마우스,슈레,0.2,2000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",맬리스 도마우스 슈레 0.2,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,성상의 마술사 아스트로그래프,오버울,0.1,1000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",성상의 마술사 아스트로그래프 오버울 0.1,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
tcggame,여러가지 ㅍㅍ,https://m.dcinside.com/board/tcggame/4320015,2026-08-23T23:14:14+09:00,페이스 오브 센츄리온,슈레,0.3,3000,만원 단위 추정,1,unknown,canival,registered,,needs_review,"가격 단위 추정, 배송비 포함 여부 미확정",페이스 오브 센츄리온 슈레 0.3,active,estimated,per_card,text,needs_review,candidate,seller-3b984c4676ed589cf624d9ed,canival,15,low,unreviewed,0
